review_id,product_id,reviewer_id,stars,text,review_title,language,product_category,real_sentiment,negative_sentiment_pred_proba,neutral_sentiment_pred_proba,positive_sentiment_pred_proba,predicted_sentiment
en_0174200,product_en_0592279,reviewer_en_0882866,2,"the holes to not line up properly at all, looks very cheap..would be afraid the lock would break if was actually able to insert it properly",bad fitting,en,apparel,negative,0.9019867777824402,0.0892855376005172,0.0087277432903647,negative
en_0936461,product_en_0423136,reviewer_en_0464452,1,It didn't even faze the dogs at all the just walked into it like it wasn't even there!!! Waste of my money,Didn't,en,lawn_and_garden,negative,0.9827597141265868,0.011894448660314,0.0053458986803889,negative
en_0130441,product_en_0088328,reviewer_en_0601675,5,"This is a great hose, I’m surprised that I haven’t been introduced to this earlier. I love to watch it shrink (the kid in me). I love the idea of having a storage bag for it, makes it easier for putting it away during the winter.",Pleased,en,lawn_and_garden,positive,0.0031732965726405,0.0140359085053205,0.9827908277511596,positive
en_0274113,product_en_0030665,reviewer_en_0384112,3,"For some reason I thought this elevated grate would cover half the cooking area. Nope, covers about a third. Not much room to add big items. First time I put a small 2 pound pork loin piece and one rack of ribs, all I could fit. Very pricey item for adding a small amount of space. I would not purchase this again. Nothing wrong quality wise, just small and pricey. Might be worth it for half the price.",Pricey for what you get,en,lawn_and_garden,neutral,0.9507185220718384,0.0443320013582706,0.0049493927508592,negative
en_0202873,product_en_0168464,reviewer_en_0790597,5,"I use Quick Detailer every night when I get home.... keeps my car looking brand new, every day!",So glad I discovered this and all the TriNova products for my car,en,automotive,positive,0.0032072735484689,0.0114073753356933,0.9853853583335876,positive
en_0713046,product_en_0124902,reviewer_en_0641158,3,"This item was smaller than expected, when I returned it, the cost of the same item jumped from $49 to $79.",Item too small,en,apparel,neutral,0.924373984336853,0.0650494992733001,0.0105764726176857,negative
en_0065066,product_en_0224663,reviewer_en_0243516,3,"See the picture of what I ordered on the left and what I received on the right. I did not receive the Combo that I ordered. I need the 36 Heat-Seal Pre-cut Bags, (Quart size) Please ship me the 36 Bags ASAP.",Received Wrong Combo,en,kitchen,neutral,0.8372501134872437,0.1409459412097931,0.0218039155006408,negative
en_0991735,product_en_0016060,reviewer_en_0718158,5,"As a fitness instructor and personal trainer, I've tried several types of bands, and these are really great quality! I'm confident that I will be able to use them for a long time. They come in a pouch that makes it easy to bring to different clients, or just to have at the gym for myself.",Great product!,en,sports,positive,0.0034776648972183,0.0096693933010101,0.9868529438972472,positive
en_0038510,product_en_0777271,reviewer_en_0178821,4,This is an extremely cute and comfy dress. Definitely would be a great go to dress. I am returning it though because it is a little too long on me and kind of makes me a look a little frumpy. I noticed on most people it appears to hit just below the knee but it goes about mid calf for me. I am 5’3,"Great dress, a little long though",en,apparel,positive,0.0589687563478946,0.6614074110984802,0.2796237766742706,neutral
en_0754977,product_en_0842817,reviewer_en_0445399,2,The first few weeks we had this it was awesome! But then started noticing it would run out really quick and my counters were wet......turns out it started leaking!,Leaks after a while.,en,home,negative,0.735968828201294,0.2427919656038284,0.0212392285466194,negative
en_0652724,product_en_0218502,reviewer_en_0256878,2,This is not a remy human hair,This is not a remy human hair,en,beauty,negative,0.8265727758407593,0.1489236652851104,0.0245034974068403,negative
en_0899139,product_en_0588221,reviewer_en_0164747,1,"Ordered a 4 pack, waited almost 2 weeks for delivery. And then was sent the wrong item. Will be returning",Waste of time,en,beauty,negative,0.9706686735153198,0.024196557700634,0.0051347413100302,negative
en_0273907,product_en_0283359,reviewer_en_0994132,3,"I should have known by the price that wheels aren't on an axle and can't turn (particularly the front ones), which makes getting around a bit difficult for my 1.5 yr old. It's fairly sturdy, cute and somewhat realistic, but I wouldn't buy it again.","Cute, but...",en,toy,neutral,0.489810436964035,0.4815183281898498,0.0286712571978569,negative
en_0005233,product_en_0437601,reviewer_en_0921162,5,The taste is pleasant. I used it to do a colon cleanse and it worked well.,Amazing product,en,lawn_and_garden,positive,0.0059068729169666,0.0376659221947193,0.9564272165298462,positive
en_0871105,product_en_0126464,reviewer_en_0495686,5,My friends and I wanted to try it out. Nothing happened but it’s still scared us lol.,Spook,en,toy,positive,0.300487220287323,0.4858593642711639,0.2136534005403518,neutral
